COUNTER,AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4,GYROX,GYROY,TIMESTAMP,FUNC_ID,FUNC_VALUE,MARKER,SYNC_SIGNAL]
27,4123.589744,4361.538462,3851.794872,4204.615385,4177.435897,4033.333333,4481.025641,4032.307692,4383.076923,4230.25641,4348.717949,4153.846154,4265.641026,4161.025641,1681,1744,21.793,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,
28,4093.846154,4356.410256,3846.666667,4208.205128,4186.153846,4071.282051,4484.615385,4030.25641,4330.769231,4228.717949,4353.846154,4122.051282,4235.897436,4152.820513,1680,1745,21.8,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,
29,4083.076923,4359.487179,3846.153846,4208.205128,4189.230769,4078.974359,4489.74359,4033.846154,4313.846154,4229.74359,4344.615385,4147.692308,4226.153846,4175.384615,1680,1744,21.808,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,
30,4104.615385,4362.564103,3840.512821,4203.589744,4177.435897,4062.051282,4480.512821,4029.74359,4346.153846,4228.717949,4350.769231,4164.102564,4242.051282,4167.179487,1680,1745,21.816,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,
31,4100,4357.435897,3853.333333,4207.179487,4185.641026,4056.410256,4487.179487,4030.25641,4362.564103,4230.25641,4347.179487,4138.974359,4220,4157.948718,1681,1744,21.824,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,
32,4118.974359,4356.410256,3846.666667,4202.051282,4180,4033.846154,4477.435897,4035.897436,4364.615385,4232.307692,4353.333333,4144.615385,4260,4176.410256,1680,1744,21.832,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,
33,4120.512821,4360,3843.076923,4202.564103,4176.410256,4074.358974,4472.307692,4031.282051,4351.282051,4228.717949,4362.051282,4157.435897,4232.820513,4152.307692,1680,1746,21.84,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,
34,4076.923077,4354.871795,3855.897436,4207.692308,4188.205128,4093.333333,4486.153846,4035.384615,4338.461538,4229.74359,4348.717949,4154.871795,4198.974359,4175.384615,1680,1744,21.847,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,
35,4102.564103,4364.102564,3833.846154,4200.512821,4180,4062.051282,4478.461538,4038.461538,4353.333333,4233.846154,4352.307692,4154.358974,4245.128205,4185.128205,1680,1745,21.855,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,
36,4102.564103,4356.410256,3842.564103,4201.538462,4184.615385,4056.410256,4481.025641,4034.358974,4356.410256,4230.769231,4355.384615,4146.666667,4232.307692,4151.282051,1680,1744,21.863,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,
37,4100,4348.717949,3854.358974,4198.974359,4183.076923,4042.564103,4474.358974,4035.384615,4353.846154,4232.820513,4353.846154,4149.230769,4238.974359,4175.384615,1680,1745,21.871,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,
38,4123.589744,4365.641026,3840,4198.461538,4178.461538,4078.461538,4468.205128,4032.820513,4362.051282,4235.897436,4359.487179,4155.897436,4246.666667,4168.717949,1681,1744,21.879,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,
39,4073.333333,4350.769231,3845.128205,4203.076923,4188.205128,4120,4481.538462,4037.948718,4356.923077,4231.794872,4354.871795,4151.282051,4216.923077,4154.358974,1680,1744,21.885,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,
40,4075.897436,4354.871795,3831.282051,4197.948718,4181.025641,4077.435897,4473.333333,4042.051282,4354.358974,4230.25641,4354.358974,4156.410256,4232.307692,4171.282051,1681,1744,21.894,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,
41,4103.589744,4364.102564,3842.051282,4201.025641,4181.538462,4040,4475.897436,4035.384615,4354.358974,4231.282051,4354.358974,4150.25641,4232.307692,4160.512821,1680,1744,21.902,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,
42,4111.282051,4350.769231,3853.333333,4197.948718,4179.487179,4038.974359,4476.410256,4038.461538,4353.846154,4234.871795,4362.564103,4148.717949,4225.641026,4156.410256,1680,1744,21.91,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,
43,4114.871795,4362.051282,3836.410256,4196.410256,4177.435897,4082.564103,4473.846154,4037.435897,4362.051282,4235.384615,4348.205128,4161.025641,4244.102564,4157.435897,1680,1744,21.918,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,
44,4070.769231,4356.923077,3842.564103,4204.615385,4187.692308,4106.153846,4482.564103,4037.435897,4363.076923,4231.794872,4323.589744,4158.974359,4233.333333,4152.307692,1680,1745,21.926,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,
45,4080,4355.897436,3840.512821,4198.974359,4181.538462,4073.333333,4472.820513,4047.692308,4365.641026,4234.871795,4344.615385,4161.025641,4228.205128,4154.358974,1681,1744,21.933,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,
46,4107.179487,4364.102564,3843.076923,4201.025641,4183.076923,4071.282051,4475.897436,4037.435897,4365.128205,4233.846154,4358.974359,4160.512821,4231.794872,4150.25641,1679,1745,21.942,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,
47,4107.179487,4351.282051,3846.153846,4197.948718,4181.025641,4074.358974,4475.384615,4035.384615,4358.461538,4232.820513,4374.871795,4157.435897,4230.25641,4155.384615,1680,1744,21.949,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,
