COUNTER,AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4,GYROX,GYROY,TIMESTAMP,FUNC_ID,FUNC_VALUE,MARKER,SYNC_SIGNAL,USER,CLASS
87.0,4844.1025641,4751.79487179,4699.48717949,4435.8974359,4664.61538462,4120.51282051,4677.43589744,4762.56410256,4669.74358974,4812.30769231,4476.41025641,4630.25641026,4448.20512821,4351.79487179,1699.0,1664.0,10.099,0.0,0.0,0.0,0.0,mike,0
88.0,4832.30769231,4740.51282051,4689.23076923,4429.23076923,4678.97435897,4122.05128205,4674.35897436,4760.51282051,4666.15384615,4804.1025641,4467.69230769,4622.56410256,4437.43589744,4340.0,1699.0,1664.0,10.107,0.0,0.0,0.0,0.0,mike,0
89.0,4816.92307692,4723.07692308,4675.8974359,4423.07692308,4666.15384615,4116.92307692,4665.64102564,4753.84615385,4659.48717949,4792.82051282,4456.41025641,4612.30769231,4424.61538462,4319.48717949,1700.0,1663.0,10.115,0.0,0.0,0.0,0.0,mike,0
90.0,4822.56410256,4728.71794872,4681.02564103,4424.61538462,4651.79487179,4118.46153846,4670.76923077,4759.48717949,4665.12820513,4802.05128205,4462.05128205,4616.41025641,4430.76923077,4326.15384615,1699.0,1663.0,10.123,0.0,0.0,0.0,0.0,mike,0
91.0,4834.87179487,4746.66666667,4691.28205128,4430.76923077,4669.23076923,4123.07692308,4683.58974359,4770.76923077,4678.97435897,4816.92307692,4479.48717949,4626.66666667,4447.69230769,4347.17948718,1700.0,1663.0,10.131,0.0,0.0,0.0,0.0,mike,0
92.0,4830.76923077,4747.17948718,4687.17948718,4431.79487179,4677.43589744,4123.58974359,4684.1025641,4771.79487179,4678.97435897,4811.28205128,4478.97435897,4624.61538462,4445.64102564,4343.07692308,1700.0,1662.0,10.139,0.0,0.0,0.0,0.0,mike,0
93.0,4820.51282051,4733.33333333,4681.53846154,4430.25641026,4655.8974359,4122.05128205,4673.84615385,4763.58974359,4668.20512821,4799.48717949,4465.12820513,4613.33333333,4430.76923077,4325.12820513,1700.0,1663.0,10.146,0.0,0.0,0.0,0.0,mike,0
94.0,4813.33333333,4727.17948718,4678.97435897,4425.12820513,4649.74358974,4114.87179487,4665.64102564,4752.82051282,4656.92307692,4793.33333333,4455.38461538,4604.1025641,4423.58974359,4316.41025641,1700.0,1662.0,10.154,0.0,0.0,0.0,0.0,mike,0
95.0,4811.79487179,4731.28205128,4675.38461538,4420.51282051,4664.61538462,4107.17948718,4662.05128205,4745.12820513,4650.76923077,4784.1025641,4449.23076923,4600.51282051,4420.0,4315.8974359,1700.0,1662.0,10.162,0.0,0.0,0.0,0.0,mike,0
96.0,4812.82051282,4733.33333333,4675.38461538,4422.05128205,4668.20512821,4107.17948718,4661.02564103,4746.15384615,4652.30769231,4780.51282051,4449.23076923,4600.51282051,4415.8974359,4317.43589744,1700.0,1661.0,10.17,0.0,0.0,0.0,0.0,mike,0
