COUNTER,AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4,GYROX,GYROY,TIMESTAMP,FUNC_ID,FUNC_VALUE,MARKER,SYNC_SIGNAL,USER,CLASS
90.0,4770.25641026,4615.38461538,4691.79487179,4401.02564103,4648.20512821,4134.35897436,4670.76923077,4813.84615385,4911.79487179,4651.79487179,4492.30769231,4616.41025641,4507.17948718,4447.69230769,1695.0,1663.0,10.726,0.0,0.0,0.0,0.0,mike,0
91.0,4765.64102564,4616.41025641,4691.28205128,4408.20512821,4635.8974359,4123.58974359,4662.56410256,4811.28205128,4908.20512821,4657.94871795,4494.35897436,4616.92307692,4505.64102564,4449.23076923,1696.0,1663.0,10.735,0.0,0.0,0.0,0.0,mike,0
92.0,4761.02564103,4613.84615385,4684.1025641,4401.02564103,4630.76923077,4121.02564103,4656.41025641,4804.1025641,4896.92307692,4647.69230769,4488.20512821,4606.15384615,4493.84615385,4444.1025641,1695.0,1664.0,10.744,0.0,0.0,0.0,0.0,mike,0
93.0,4769.23076923,4615.8974359,4687.69230769,4400.0,4640.0,4128.71794872,4667.69230769,4808.20512821,4894.35897436,4647.17948718,4488.20512821,4604.61538462,4491.28205128,4443.07692308,1696.0,1663.0,10.751,0.0,0.0,0.0,0.0,mike,0
94.0,4777.43589744,4620.51282051,4701.02564103,4408.71794872,4648.20512821,4137.43589744,4674.87179487,4817.94871795,4898.46153846,4659.48717949,4493.33333333,4611.28205128,4496.92307692,4446.66666667,1696.0,1662.0,10.758,0.0,0.0,0.0,0.0,mike,0
95.0,4770.76923077,4617.94871795,4697.43589744,4406.66666667,4641.53846154,4129.23076923,4663.58974359,4811.79487179,4890.76923077,4650.25641026,4489.23076923,4606.66666667,4490.76923077,4441.02564103,1696.0,1663.0,10.766,0.0,0.0,0.0,0.0,mike,0
96.0,4775.38461538,4615.8974359,4694.35897436,4404.1025641,4643.07692308,4122.56410256,4662.05128205,4808.71794872,4884.61538462,4645.12820513,4488.71794872,4607.69230769,4491.28205128,4443.07692308,1695.0,1662.0,10.774,0.0,0.0,0.0,0.0,mike,0
97.0,4784.61538462,4617.94871795,4701.53846154,4406.15384615,4650.76923077,4129.23076923,4671.28205128,4816.41025641,4894.35897436,4668.20512821,4498.46153846,4621.53846154,4504.61538462,4455.38461538,1696.0,1662.0,10.782,0.0,0.0,0.0,0.0,mike,0
98.0,4772.82051282,4615.38461538,4691.79487179,4399.48717949,4638.46153846,4124.61538462,4664.1025641,4812.30769231,4894.87179487,4669.74358974,4496.92307692,4617.43589744,4499.48717949,4451.79487179,1695.0,1662.0,10.79,0.0,0.0,0.0,0.0,mike,0
99.0,4766.66666667,4616.92307692,4684.1025641,4400.0,4633.84615385,4119.48717949,4660.0,4809.74358974,4889.23076923,4657.43589744,4488.20512821,4608.71794872,4487.69230769,4442.56410256,1695.0,1662.0,10.798,0.0,0.0,0.0,0.0,mike,0
100.0,4774.87179487,4619.48717949,4692.30769231,4407.17948718,4650.76923077,4128.20512821,4670.25641026,4814.87179487,4893.84615385,4663.58974359,4491.79487179,4612.30769231,4491.79487179,4445.64102564,1694.0,1661.0,10.805,0.0,0.0,0.0,0.0,mike,0
101.0,4768.71794872,4615.8974359,4692.82051282,4404.61538462,4651.28205128,4125.64102564,4669.74358974,4813.84615385,4893.84615385,4662.05128205,4492.82051282,4607.69230769,4493.33333333,4445.12820513,1693.0,1661.0,10.813,0.0,0.0,0.0,0.0,mike,0
102.0,4762.56410256,4616.92307692,4693.84615385,4407.69230769,4628.20512821,4120.0,4666.66666667,4810.76923077,4888.71794872,4657.43589744,4488.71794872,4604.1025641,4487.17948718,4439.48717949,1694.0,1660.0,10.821,0.0,0.0,0.0,0.0,mike,0
103.0,4769.74358974,4624.61538462,4704.61538462,4414.87179487,4632.82051282,4133.33333333,4671.28205128,4812.82051282,4886.15384615,4666.15384615,4498.46153846,4615.38461538,4489.74358974,4447.69230769,1693.0,1662.0,10.829,0.0,0.0,0.0,0.0,mike,0
104.0,4771.28205128,4629.74358974,4710.76923077,4413.84615385,4668.20512821,4143.58974359,4678.97435897,4815.8974359,4889.74358974,4669.23076923,4511.28205128,4626.15384615,4502.05128205,4460.0,1694.0,1660.0,10.837,0.0,0.0,0.0,0.0,mike,0
105.0,4764.61538462,4630.25641026,4709.74358974,4411.79487179,4670.76923077,4138.97435897,4682.05128205,4815.38461538,4890.25641026,4665.12820513,4507.17948718,4621.53846154,4503.07692308,4459.48717949,1692.0,1661.0,10.851,0.0,0.0,0.0,0.0,mike,0
106.0,4762.56410256,4632.82051282,4711.79487179,4416.41025641,4646.15384615,4137.43589744,4678.46153846,4812.82051282,4882.56410256,4666.66666667,4505.64102564,4616.92307692,4493.84615385,4457.94871795,1694.0,1662.0,10.851,0.0,0.0,0.0,0.0,mike,0
107.0,4761.53846154,4634.35897436,4711.28205128,4417.43589744,4645.12820513,4136.41025641,4673.84615385,4813.33333333,4877.43589744,4667.17948718,4507.69230769,4616.41025641,4493.33333333,4456.92307692,1692.0,1661.0,10.859,0.0,0.0,0.0,0.0,mike,0
108.0,4750.25641026,4624.1025641,4699.48717949,4409.23076923,4650.76923077,4123.58974359,4667.17948718,4809.23076923,4876.92307692,4663.07692308,4495.8974359,4603.58974359,4490.76923077,4444.61538462,1693.0,1662.0,10.868,0.0,0.0,0.0,0.0,mike,0
109.0,4740.51282051,4619.48717949,4693.84615385,4406.15384615,4640.51282051,4121.53846154,4669.23076923,4806.66666667,4875.8974359,4661.02564103,4490.25641026,4597.43589744,4483.58974359,4436.92307692,1693.0,1661.0,10.876,0.0,0.0,0.0,0.0,mike,0
110.0,4753.33333333,4630.76923077,4709.23076923,4412.82051282,4652.82051282,4142.56410256,4685.64102564,4817.43589744,4875.38461538,4666.66666667,4506.66666667,4612.30769231,4496.92307692,4449.74358974,1694.0,1663.0,10.884,0.0,0.0,0.0,0.0,mike,0
111.0,4763.07692308,4638.97435897,4722.05128205,4417.94871795,4673.84615385,4155.38461538,4694.35897436,4823.07692308,4880.0,4677.43589744,4512.82051282,4623.07692308,4511.28205128,4455.38461538,1693.0,1662.0,10.892,0.0,0.0,0.0,0.0,mike,0
112.0,4751.28205128,4630.76923077,4711.28205128,4413.33333333,4656.41025641,4138.97435897,4673.33333333,4807.69230769,4875.8974359,4674.35897436,4502.56410256,4614.35897436,4498.46153846,4443.07692308,1694.0,1662.0,10.899,0.0,0.0,0.0,0.0,mike,0
113.0,4744.61538462,4623.58974359,4701.02564103,4406.15384615,4635.38461538,4118.46153846,4656.92307692,4800.51282051,4862.56410256,4668.20512821,4499.48717949,4608.20512821,4486.66666667,4437.94871795,1695.0,1661.0,10.907,0.0,0.0,0.0,0.0,mike,0
114.0,4750.25641026,4627.17948718,4703.58974359,4404.61538462,4649.23076923,4123.07692308,4667.17948718,4812.30769231,4861.53846154,4673.33333333,4504.1025641,4613.84615385,4492.30769231,4445.64102564,1693.0,1662.0,10.916,0.0,0.0,0.0,0.0,mike,0
115.0,4752.30769231,4630.76923077,4704.61538462,4407.69230769,4661.53846154,4138.46153846,4676.41025641,4815.8974359,4866.66666667,4673.33333333,4506.66666667,4617.94871795,4500.0,4446.66666667,1695.0,1662.0,10.923,0.0,0.0,0.0,0.0,mike,0
116.0,4748.71794872,4632.82051282,4702.56410256,4413.33333333,4648.71794872,4137.43589744,4671.28205128,4811.79487179,4867.17948718,4673.33333333,4508.20512821,4616.92307692,4504.61538462,4446.66666667,1695.0,1661.0,10.931,0.0,0.0,0.0,0.0,mike,0
117.0,4748.20512821,4631.79487179,4706.15384615,4413.84615385,4645.12820513,4129.23076923,4666.15384615,4812.30769231,4870.25641026,4684.61538462,4510.76923077,4615.8974359,4508.20512821,4454.35897436,1695.0,1662.0,10.937,0.0,0.0,0.0,0.0,mike,0
118.0,4752.82051282,4635.38461538,4713.84615385,4416.41025641,4661.53846154,4136.41025641,4671.79487179,4814.87179487,4872.30769231,4691.28205128,4510.76923077,4622.05128205,4508.71794872,4461.53846154,1694.0,1661.0,10.953,0.0,0.0,0.0,0.0,mike,0
